Property_Address,Tax_Year,Property_Class,Type_of_Residence,Rooms,Bedrooms,Basement,Fireplaces,Central_Air,Full_Baths,Half_Baths,Building_Square_Feet,Land_Square_Feet,Age,Longitude,Latitude,Sale_Price
510 WOODLAND AVE,2014,206,2-story,8.0,4.0,Partial basement,2.0,Yes,4.0,1.0,3754.0,72745.0,74.0,-87.91652979999998,41.7920047,1795000
205 COMM DR,2011,204,1-story,8.0,4.0,Full basement,3.0,Yes,1.0,1.0,2323.0,13221.0,65.0,-87.861726,41.8347535,275000
74489 W WASHINGTON 401,2006,299,,,,,,,,,,,,-87.8090885,41.8814837,149500
515  GRANT ST ROSELLE,2018,278,2.0,8.0,4.0,1.0,1.0,1.0,2.0,1.0,2857.0,11039.0,18.0,-88.0883877,41.99265701,440000
10360 S ROBERTS RD,2006,299,,,,,,,,,,,,-87.81789870000001,41.7024361,235000
1924  FLINTSHIRE DR SCHAUMBURG,2018,295,2.0,6.0,3.0,1.0,0.0,1.0,1.0,1.0,1380.0,1800.0,42.0,-88.12776378,42.0412713,85000
1104  MERCURY DR SCHAUMBURG,2018,299,,,,,,,1.0,,,446574.0,10.0,-88.12464212,42.00501859,129250
5416 W BERENICE,2008,203,1-story,5.0,3.0,Full basement,0.0,No,1.0,0.0,1080.0,3600.0,84.0,-87.76274520000003,41.95078839999999,370000
1065  WESTMOOR RD WINNETKA,2018,208,2.0,9.0,5.0,1.0,2.0,1.0,4.0,1.0,3961.0,10050.0,7.0,-87.74439927,42.11217761,1905000
4709  CHURCH ST SKOKIE,2018,295,2.0,5.0,3.0,2.0,0.0,1.0,1.0,1.0,1055.0,1185.0,58.0,-87.74493849,42.04764582,1
8620  WAUKEGAN RD MORTON GROVE,2018,299,,,,,,,1.0,,,15541.0,10.0,-87.79951387,42.03830588,110000
397  LITTLETON TRL ELGIN,2018,299,,,,,,,1.0,,,2658600.0,10.0,-88.23335571,42.02868474,166000
1115 N WARWICK CIR HOFFMAN ESTATES,2018,207,2.0,8.0,3.0,4.0,1.0,2.0,2.0,1.0,1926.0,7548.0,32.0,-88.10699976,42.041246,265000
9429 GEORGETOWN SQ,2004,278,2-story,8.0,4.0,Partial basement,1.0,Yes,2.0,1.0,2618.0,4700.0,4.0,-87.8491818,41.59653170000001,320000
8936  SKOKIE BLVD SKOKIE,2018,211,3.0,22.0,11.0,1.0,0.0,2.0,7.0,0.0,7193.0,6780.0,86.0,-87.74737878,42.04372224,378000
4537 W 129TH ST,2015,234,multilevel,6.0,3.0,Partial basement,0.0,No,1.0,1.0,1307.0,6761.0,26.0,-87.73313320000003,41.6554845,193500
9042 S JEFFERY,2003,202,?,4.0,3.0,Slab basement,0.0,No,2.0,0.0,888.0,3750.0,57.0,-87.5758283,41.7302845,150000
16800 OAK PARK AVE,2008,203,?,4.0,2.0,Full basement,0.0,No,1.0,0.0,720.0,4688.0,54.0,-87.7852296,41.5857914,60500
4329 N TROY,2012,211,3-story,18.0,9.0,Full basement,0.0,No,3.0,0.0,3657.0,3125.0,77.0,-87.70677380000002,41.9602572,355000
4700 N HARLEM AVE HARWOOD HEIGHTS,2018,299,,,,,,,1.0,,,18639.0,10.0,-87.80755313,41.96579155,192000
1621 E MISSION HILLS RD NORTHBROOK,2018,299,,,,,,,1.0,,,67445.0,10.0,-87.87032629999999,42.12307885,164900
3233 N RACINE AV 2,2003,299,,,,,,,,,,,,-87.6586706,41.9408636,359900
201 N WESTSHORE 1007,2012,299,,,,,,,,,,,,-87.6160537,41.8864156,525000
521 N KEYSTONE,2004,206,2-story,8.0,4.0,Full basement,1.0,Yes,2.0,1.0,2917.0,16950.0,90.0,-87.8229477,41.8890234,875000
5046 W 30TH PL,2005,211,2-story,11.0,5.0,Full basement,0.0,No,3.0,0.0,1740.0,3125.0,115.0,-87.75105649999998,41.83765089999999,195000
1355 WOODLAND DR,2005,202,1-story,4.0,2.0,crawlspace,0.0,No,1.0,0.0,850.0,7000.0,51.0,-88.1142464,41.5134632,183000
1316  KINGSBURY DR HANOVER PARK,2018,299,,,,,,,1.0,,,83673.0,10.0,-88.14210977,42.00995656,65800
680  ELIZABETH LN DES PLAINES,2018,234,4.0,7.0,3.0,3.0,0.0,1.0,1.0,1.0,1191.0,7200.0,49.0,-87.93822688,42.02704767,235000
19013 SPRINGFIELD,2004,234,multilevel,6.0,3.0,Partial basement,0.0,Yes,2.0,0.0,1380.0,9101.0,34.0,-87.7106613,41.5439755,205000
901 W MADISON ST 422,2015,299,,,,,,,,,,,,-87.6502049,41.8815123,277000
1821  WARWICK LN SCHAUMBURG,2018,203,1.0,6.0,3.0,2.0,1.0,2.0,2.0,0.0,1278.0,10116.0,56.0,-88.12513774,42.02195316,225000
6878  TOUHY AVE NILES,2018,299,,,,,,,1.0,,,98180.0,10.0,-87.79802624,42.01331563,115000
46  MARCEL LN SCHAUMBURG,2018,295,3.0,5.0,2.0,2.0,0.0,1.0,2.0,1.0,2148.0,1381.0,1.0,-88.08099815,42.02898365,353930
